8, 1, 574034.8, 532680.6, 1.077634
8, 2, 532093.8, 278827.4, 1.908327
8, 3, 535540.2, 216198.2, 2.477080
8, 4, 537066.6, 149439.8, 3.593866
8, 5, 539487.0, 150275.6, 3.589984
8, 6, 541599.6, 152198.8, 3.558501
8, 7, 540002.2, 152457.4, 3.541987
8, 8, 543620.8, 113917.8, 4.772044
8, 9, 543677.4, 113696.8, 4.781818
8, 10, 536200.8, 113451.0, 4.726276
8, 11, 545865.8, 115634.6, 4.720610
8, 12, 542720.0, 112517.0, 4.823449
8, 13, 545917.4, 114721.4, 4.758636
8, 14, 547351.2, 113311.0, 4.830521
8, 15, 547024.2, 114121.8, 4.793336
8, 16, 546994.0, 112220.0, 4.874300
8, 17, 547451.2, 112175.2, 4.880323
8, 18, 548327.8, 114740.4, 4.778856
8, 19, 548881.6, 113543.6, 4.834104
8, 20, 548067.0, 114433.4, 4.789397
